,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Ashkenazi_Ukraine,0.099424,0.135116,-0.005506,-0.040117,0.012048,-0.014265,-0.001093,0.000115,0.007772,0.012939,0.000804,0.000112,0.002416,0.000523,-0.00283,-0.00183,-0.004322,-1.9e-05,0.001276,-0.004677,-0.003126,-0.002591,0.00077,0.002103,0.001006
Assyrian,0.097793,0.133542,-0.062068,-0.064412,-0.03139,-0.017617,0.004818,-0.006077,-0.02289,-0.00363,0.004642,-0.002423,0.005538,-2.3e-05,-0.002466,0.00706,-0.001793,0.00113,0.002545,-0.005482,-0.00235,0.002246,-0.000668,-0.00253,0.003423
Assyrian_Mardin,0.097319,0.137604,-0.058642,-0.069122,-0.02939,-0.017849,-0.001058,-0.007846,-0.015442,-0.005832,0.00544,-0.001499,0.006913,0.001927,-0.006447,0.010939,0.009583,0.00019,-0.00132,-0.002751,0.002246,0.001546,-0.001541,0.005965,-0.001617
Assyrian_o,0.104717,0.122879,-0.060339,-0.049742,-0.036007,-0.013108,0.00893,-0.002077,-0.036201,-0.004009,0.003085,0.01079,-0.003122,-0.003853,-0.008007,0.015115,0.011865,0.00114,0.002137,0.002376,-0.003119,0.000742,0.004437,0.00012,-0.000718
Asur,0.010244,-0.198028,-0.178378,0.120157,-0.028467,0.066655,-0.00658,0.017076,0.077821,0.047837,0.02111,0.002473,-0.004831,0.010803,-0.020358,-0.023203,0.009844,0.00095,-0.001634,0.023386,0.002558,0.016569,-0.001541,0.009459,0.004131
Atayal,0.015176,-0.444351,-0.042866,-0.068512,0.135034,0.060581,-0.002951,-0.014102,-0.022725,-0.019418,0.038161,0.004046,-0.003089,0.003074,0.013617,0.007882,-0.00452,0.004673,0.005475,-0.016063,0.003494,-0.02495,-0.000726,-0.006587,-0.050122
Australian,-0.042115,-0.235095,-0.213639,0.234499,0.138487,-0.340247,-0.003173,0.0075,-0.008283,0.00082,-0.006171,0.001199,0.000818,-0.002684,-0.003529,-0.000133,0.01004,0.002027,-0.002388,0.006065,0.003556,-0.000371,-0.003389,0.001265,-0.00455
Austrian,0.129089,0.135005,0.054394,0.032737,0.034776,0.012567,0.00723,0.006244,0.002827,0.002755,-0.003878,0.000785,-0.001294,0.002785,0.000503,0.003697,0.000222,0.00079,0.003179,0.000839,-0.000991,-0.002655,0.001667,0.002963,-0.001028
Avar,0.11356,0.103193,-0.022879,0.014212,-0.042383,0.014781,0.007297,-0.004426,-0.06077,-0.041573,-0.000629,0.004896,-0.012266,-0.00993,0.015472,-0.003373,-0.000679,-0.002745,-0.006253,0.004595,-0.001065,0.001953,0.006219,0.009995,-0.001535
Avar_o,0.108986,0.118055,-0.032904,-0.012597,-0.03516,0.007391,0.00564,-0.006404,-0.054761,-0.030525,-0.000244,0.003335,-0.012859,-0.000585,0.008007,-0.006298,-0.000554,-0.000538,-0.004022,0.004784,0.003899,6.2e-05,0.001448,0.003796,-0.002634
Awan,0.07427,-0.002539,-0.108988,0.075582,-0.072475,0.04532,0.004171,0.003634,-0.005778,-0.003827,-0.00682,0.001199,-0.002787,-0.00695,0.006073,0.009745,-0.002673,0.001679,0.001823,-0.007441,-0.004866,-0.003833,0.003759,-0.005392,0.001108
Aymara,0.056912,-0.312783,0.11917,0.093024,-0.114791,-0.014502,-0.301519,-0.359293,-0.009613,-0.016401,-0.000325,0.000899,-0.004608,0.023121,-0.013572,0.003447,0.00691,0.000253,-0.00176,0.002501,-0.001497,0.004081,0.003697,0.000361,-0.007544
Azerbaijani_Dagestan,0.100821,0.09503,-0.040657,-0.019753,-0.036255,0.001244,0.004022,-0.00537,-0.039347,-0.019282,-0.00198,0.002801,-0.004923,-0.003673,0.005658,0.000872,-0.001866,-0.000784,-0.00147,-0.00227,-0.000226,-0.001817,0.000493,0.001719,0.001898
Azerbaijani_Iran_Ardabil,0.091996,0.087276,-0.049647,-0.039007,-0.036568,-0.004397,0.004907,-0.003652,-0.0266,-0.010613,-0.000267,-0.000635,7e-04,-0.000672,0.000399,0.003931,-0.004149,0.001654,0.002795,-0.005341,0.000514,-0.001571,-0.001885,-0.002779,0.001733
Azerbaijani_Iran_EastAz,0.094018,0.08632,-0.048875,-0.035207,-0.036438,-0.007642,0.005875,-0.000969,-0.028183,-0.004119,0.000715,-0.00045,0.001606,0.000908,0.001819,0.00358,-0.006519,0.001723,0.00083,-0.005903,-0.003893,-0.001335,0.000739,-0.004266,0.002227
Azerbaijani_Iran_WestAz_Maku,0.092197,0.086828,-0.046009,-0.033269,-0.038623,-0.007251,0.00141,-0.008192,-0.02577,-0.007563,-0.005278,0.001274,0.004162,-0.011836,-0.002036,0,-0.005998,-0.003547,0.004588,0.002501,0.001123,-0.002844,-0.004437,-0.000181,0.003293
Azerbaijani_Republic_Agjabedi,0.092197,0.089367,-0.048774,-0.040591,-0.034912,-0.006384,0.004073,-0.00359,-0.028997,-0.009152,-0.004186,-0.000932,0.001701,-0.002125,0.002684,0.006467,-0.00055,0.00107,0.001774,-0.003974,-0.001262,0.000234,-0.001287,-0.000817,0.000612
Azerbaijani_Republic_Gabala,0.098322,0.097733,-0.045667,-0.033177,-0.03542,-0.004768,0.005114,-0.004209,-0.034068,-0.014605,-0.001786,0.001178,-0.00349,-0.001409,0.001596,0.001604,0.000192,-5.4e-05,0.002586,-0.002811,-0.000416,0.00013,-0.000434,-0.000476,0.000787
Azerbaijani_Republic_Shaki,0.100449,0.107011,-0.046009,-0.036863,-0.032237,-0.00617,0.00329,-0.005279,-0.035178,-0.013759,-0.000264,0.002323,-0.004218,-0.000602,0.000696,-0.002552,0.000489,0,-0.002043,-0.001094,0.000546,-0.001267,0.000169,-0.000241,0.003742
