,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Naga,0.00168,-0.04322,0.00048,-0.01444,0.01108,0.00304,0.0021,0.00082,0.00052,0.00554,-0.04998,-0.00694,0.00932,-0.0029,-0.00804,-0.00158,0.00222,-0.00252,-0.00564,0.00494,0.00056,0.02174,0.00624,-0.00148,0.03442
Nahua,0.005,-0.03,0.0291,0.0277,-0.0347,-0.0044,-0.1159,-0.139,-0.0067,-0.0088,-0.0047,-6e-04,-2e-04,0.0131,-0.0033,0.0098,0.0024,0.0013,0.0025,-0.0027,-0.0048,0.0039,-0.0034,0.0021,0.0041
Nair,0.0045857,-0.0045429,-0.0388714,0.0304429,-0.0246571,0.0207286,6e-04,0.0050571,0.0141857,0.0091,-0.0051857,-5.71e-05,-0.0007714,-0.0017,-0.0004714,-0.0003714,-5e-04,-5e-04,4e-04,-0.0026,0.0014857,-0.0015429,-0.0026,-0.0020857,-0.0032143
Nanai,0.00264,-0.04401,0.02292,-0.0128,-0.02155,-0.01732,0.00762,0.00971,0.00617,0.01067,-0.0139,0.00022,-0.00067,0.00187,-0.00569,-0.0058,-0.00144,0.00678,0.01368,0.01343,0.00705,-0.02451,-0.01158,0.00377,0.00181
Nash_Didan_Jew_Urmia,0.0079,0.0137,-0.0186,-0.0217,-0.0105,-0.0066,3e-04,-0.0055,-0.0064,-2e-04,0.0045,-0.0053,0.0068,7e-04,-0.0069,0.0096,-0.0012,0.0017,0.0034,-0.0041,0.0013,-9e-04,0,-0.0029,-0.0038
Nasoi,-0.00266,-0.02668,-0.04983,0.05744,0.05007,-0.10305,0.00143,-0.00044,-0.00915,-0.00383,0.00704,7e-05,-0.00058,0.00011,-0.00052,-0.0014,-0.00024,0.00126,0.0017,-6e-05,0.00135,-0.0043,-0.00279,-0.00184,-0.01102
Nasrani,0.00406,-0.0059667,-0.0409,0.03084,-0.0250133,0.0203467,-0.00062,0.00464,0.0166267,0.0109067,-0.0032067,0.0002933,0.0010667,0.0019067,6.67e-05,-0.00092,-0.0018067,7.33e-05,0.00108,-0.0010467,0.00472,-0.00322,-0.00094,-0.00178,-0.0034533
Naxi,0.0019,-0.04286,-0.00054,-0.01584,0.01672,0.0075,0.00266,0.00182,-0.00102,0.0035,-0.04308,-0.00582,0.0063,-0.00252,-0.00496,-0.00444,0.00106,-0.00012,-0.0069,0.00016,0.00452,0.0184,0.00844,0.00154,0.02348
Ndau,-0.0548278,0.0061833,0.0053611,0.0048667,-0.0002611,0.0043556,-0.0067444,0.0108889,-0.0147278,0.0061056,0.0001833,0.0010944,-0.0082556,0.0010111,-0.0136722,0.0104833,-0.0116,0.0070556,-0.0076944,0.0047167,0.0014722,-0.0014167,0.0012444,-0.0003944,-0.0012389
Negidal,0.0025,-0.0445333,0.0252333,-0.0118667,-0.0262,-0.0183667,0.0056333,0.0074333,0.0060667,0.0072,-0.007,0.0008667,-0.0036,-0.0009333,-0.0081667,-0.006,-0.0009667,0.0094667,0.0196333,0.015,0.0145667,-0.031,-0.0111667,0.0096,0.0028333
