,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Scotland_Viking_o.SG,0.128051,0.137096,0.061659,0.046835,0.036776,0.0139445,0.00235,0.0038075,0.010226,0.0020045,-0.006739,0.0040465,-0.0133795,-0.0162395,0.0230045,0.0008615,-0.021057,0.00114,0.001194,-0.001876,0.0106685,0.0024115,-0.005423,0.017834,0.0038315
Scotland_Viking.SG,0.130043,0.138112,0.063262,0.0515992,0.039469,0.0188948,0.0029375,0.0064035,0.003477,0.0023235,-0.00816,0.007943,-0.015535,-0.015104,0.0282298,-0.0001325,-0.0139185,0.003769,0.0024198,0.0017508,0.0014975,0.0061828,-0.0033892,0.0147308,0.001856
Serbia_BA_Maros,0.1256608,0.1482674,0.0405028,0.0080104,0.0383456,-0.0001116,0.00376,0.0023074,0.012926,0.0266794,0.0010392,0.0061146,-0.0136172,-0.0030002,-0.0037188,-0.0041102,0.0051892,0.0024324,0.0062094,-0.0027014,-0.0015722,0.0031654,-0.0011832,-0.009495,-0.0040954
Serbia_BA_o,0.12862,0.145221,0.049026,0.015504,0.040931,0.00502,0.007755,0.003,0.019225,0.02041,-0.009419,0.005245,-0.008622,-0.002615,-0.006107,-0.000928,0.007562,0.007728,0.00176,-0.004752,-0.002496,0.005564,-0.002588,-0.009519,-0.004191
Serbia_Beska_Severi_ValentianValen_possible.SG,0.122929,0.122371,0.0490255,0.032946,0.0173875,0.0094825,0.0055225,0.0049615,0.001943,-0.007198,-0.0077135,-0.0027725,0.001115,-0.004335,0.0027825,0.0086845,0.012126,-0.003167,0.0113755,0.003814,-0.008298,-0.003586,0.008011,0.004398,0.0029935
Serbia_C_BA_Tiszapolgar_Bodrogkerestur,0.124067,0.1797485,0.024136,-0.06783,0.064935,-0.0348615,0.0001175,-0.0045,0.046427,0.077268,0.003654,0.0175345,-0.024975,0.007294,-0.0301975,-0.01074,0.0219045,0.0061445,0.0064105,-0.0041265,-0.006052,0.004204,-0.009798,-0.018858,-0.0062865
Serbia_EBA_Yamnaya,0.127482,0.097491,0.043746,0.081719,-0.013541,0.039602,0.028671,0.002077,-0.036405,-0.066698,-0.000487,-0.001948,-0.007582,-0.017065,0.030673,0.029435,0.009518,-0.006208,-0.008296,0.014257,-0.011355,-0.014096,0.009983,0.032896,-0.010418
Serbia_EN,0.125585,0.1827953,0.008422,-0.097223,0.0599083,-0.040253,0.0005483,-0.003923,0.0376323,0.0854077,0.0074697,0.0141873,-0.021952,0.0006423,-0.0398567,-0.0149827,0.0233387,0.0015203,0.012151,-0.0124643,-0.0051577,0.007378,-0.009901,0.004539,0.000958
Serbia_EN_Starcevo,0.127482,0.18178,0.018479,-0.074613,0.056626,-0.040997,-0.00094,-0.001846,0.032519,0.077086,0.001461,0.008992,-0.028097,-0.000963,-0.03298,-0.008221,0.007693,-0.000127,0.012193,-0.012131,-0.006239,0.003215,-0.008997,-0.006266,-0.003113
Serbia_GradStarcevo_Starcevo_EN.SG,0.120652,0.186857,0.010559,-0.098515,0.05878,-0.042112,-0.005875,-0.002538,0.042132,0.091118,0.006008,0.016186,-0.029435,0.010872,-0.035287,-0.020419,0.00352,0.001267,0.008925,-0.019634,-0.016596,0.000247,-0.009737,-0.001566,-0.005628
Serbia_IronGates_MBA,0.132035,0.133034,0.097674,0.070414,0.071706,0.020359,0.00141,0.016845,0.025565,-0.005285,0.000974,-0.01139,0.010704,0.021607,-0.011536,0.006497,0.008475,0.010515,-0.002514,0.01113,0.010107,0.008285,-0.015776,-0.034824,-0.001557
Serbia_IronGates_Mesolithic,0.1303472,0.116891,0.1827994,0.1796781,0.1311757,0.0547588,0.0141008,0.0331897,0.0663716,-0.0097842,-0.0098273,-0.0174465,0.0260515,-0.0002182,0.033977,0.0489896,0.0054717,0.0054389,-0.0062025,0.0477816,0.0750056,0.0105744,-0.0336041,-0.1221733,0.0109136
